Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2002,25.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2005,20.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2008,18.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2010,15.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2011,13.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2012,12.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2013,11.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),1,World,2015,10,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),8,Albania,2002,2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),8,Albania,2005,1.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),8,Albania,2008,0.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),8,Albania,2012,1.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),12,Algeria,2011,0.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),24,Angola,2000,32.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),24,Angola,2008,30.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),31,Azerbaijan,2001,2.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),31,Azerbaijan,2002,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),31,Azerbaijan,2003,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),31,Azerbaijan,2004,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),31,Azerbaijan,2005,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2000,5.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2001,9.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2002,14,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2003,7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2004,5.4,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2005,3.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2006,3.3,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2007,2.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2008,2.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2009,2.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2010,1.1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2011,0.9,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2012,0.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2013,0.8,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2014,0.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),32,Argentina,2016,0.6,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),36,Australia,2001,0.7,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),36,Australia,2003,1,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),36,Australia,2008,0.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),36,Australia,2010,0.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2003,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2004,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2005,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2006,0,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2007,0.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2008,0.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2009,0.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2010,0.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2011,0.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2012,0.5,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2013,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2014,0.2,,,
1,1.1,1.1.1,SI_POV_DAY1,Proportion of population below international poverty line (%),40,Austria,2015,0.7,,,
